Order Number|CustomerName|StateName|StateTaxRate|Material|Area|CostPerSqFt|CostLaborPerSqFt|MaterialCost|LaborCost|Tax|Total|DateOfOrder|CreationDate|
1,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-10-31
2,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-10-31
3,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-10-31
4,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-10-31
5,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-10-31
6,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-10-31
7,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-10-31
8,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-01
9,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-01
10,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-01
11,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-01
12,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-01
13,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-01
14,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-01
15,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-01
16,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-01
17,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-01
18,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-01
19,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-01
20,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-01
21,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-01
22,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-01
23,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-01
24,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-01
25,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-01
26,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-01
27,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-01
28,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-02
29,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-02
30,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-02
31,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-02
32,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-02
33,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-02
34,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-02
35,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-02
36,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-02
37,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2021-11-02
38,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2021-11-02
39,Bobby Jones,MN,25.00,Tile,120,5.00,5.00,600.00,600.00,300.00,1500.00,2025-10-10,2022-01-26
40,Jill Jack,CA,8.50,Hardwood,200,7.00,10.00,1400.00,2000.00,289.00,3689.00,2022-05-05,2022-01-26
